round,test_loss,test_acc,train_loss
1,1.1725562145233155,0.7355,2.0722234844843546
2,0.5530285263061523,0.8526,0.7920234925905862
3,0.43307437191009523,0.8809,0.5156670529842377
4,0.376980207157135,0.8934,0.4264085549871127
5,0.3414032211780548,0.9002,0.37934680763880413
6,0.3145087781906128,0.911,0.34828329881032305
7,0.29508002195358274,0.9172,0.32579065793355305
8,0.2798495699882507,0.9188,0.30797513182560604
9,0.26744704892635346,0.9226,0.2934317163825035
10,0.25486208748817446,0.9269,0.28102073117494586
11,0.24524234375953674,0.9278,0.2702769196093082
12,0.23691974763870238,0.9311,0.2604117378950119
13,0.22835388503074647,0.9332,0.25190626453359916
14,0.22182582066059112,0.9343,0.2437315845022599
15,0.215640856051445,0.9366,0.236429144324859
16,0.20764546663761138,0.9387,0.22947247397502263
17,0.2032706848859787,0.9392,0.22288856082061925
18,0.19693533900976182,0.9419,0.21673656478722889
19,0.19173453071117402,0.9434,0.21095421898464362
20,0.18784790493249892,0.9447,0.20551760740478833
21,0.18242726970911027,0.9464,0.2005744782646497
22,0.17822923908233643,0.9479,0.19552822457055252
23,0.1736298798084259,0.9481,0.19052201854586603
24,0.16814110397100449,0.9502,0.1861758487443129
25,0.16622773821353912,0.9518,0.18201844671567283
26,0.1612924389600754,0.9518,0.17798952347238858
27,0.15701745371818543,0.9536,0.1740771844699979
28,0.1547571900129318,0.9544,0.17037468196551003
29,0.15142786536216735,0.9552,0.1668479013517499
30,0.14785855592489242,0.9564,0.16350190545022486
