round,max_abs_diff
1,6.690621376037598e-06
2,1.015886664390564e-05
3,1.3932585716247559e-05
4,1.545250415802002e-05
5,1.642853021621704e-05
6,1.7900019884109497e-05
7,2.0273029804229736e-05
8,2.222508192062378e-05
9,2.6457011699676514e-05
10,2.6091933250427246e-05
11,2.719089388847351e-05
12,3.0219554901123047e-05
13,2.958625555038452e-05
14,3.0916184186935425e-05
15,3.209337592124939e-05
16,3.425776958465576e-05
17,3.7319958209991455e-05
18,3.7200748920440674e-05
19,4.01325523853302e-05
20,4.2770057916641235e-05
21,4.443526268005371e-05
22,4.4461339712142944e-05
23,4.278123378753662e-05
24,3.975629806518555e-05
25,4.369020462036133e-05
26,4.400312900543213e-05
27,4.138052463531494e-05
28,4.1291117668151855e-05
29,4.134327173233032e-05
30,4.2945146560668945e-05
